OBJECTID_12,FID_Movimientos_AreaPotencial,OBJECTID_1,Shape_Leng,a,OBJECTID,ENCUEST,DPTO,MUNICIPIO,VEREDA,PARTE,ETIQUETA,ESTE_ESC,NORTE_ESC,ESTE_CUERP,NORT_CUERP,ESTE,FECHA_REP,NORTE,ALTITUD,TIPO_MOV1,TIPO_MOV2,SUBTIPO_1,SUBTIPO_2,ACTIVIDAD,ELEM_EXP,COD_SIMMA,FECHA_MOV,PLANCHA,ID_MOV,ID_PARTE,REF_GEOGRF,FTE_INFSEC,EDAD_RELAT,Shape_Le_1,FID_RasterT_Amenaza1,Id,gridcode,AMENAZA,Shape_Length,Shape_Area
21,10,10,433.7542787,0,22,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Canoas,n,ft,0,0,0,0,1082498.805,26/9/2019 00:00,1288404.322,587,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,1/1/2002,109IIID,CM043, ,Cerca del drenaje rÃƒÂ­o Sucio.,Google Earth; 01/2002.,15-20 aÃƒÂ±os,433.7542787,1412,1412,2,ALTA,231.7430216,774.1534674
22,10,10,433.7542787,0,22,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Canoas,n,ft,0,0,0,0,1082498.805,26/9/2019 00:00,1288404.322,587,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,1/1/2002,109IIID,CM043, ,Cerca del drenaje rÃƒÂ­o Sucio.,Google Earth; 01/2002.,15-20 aÃƒÂ±os,433.7542787,1419,1419,1,MEDIA,94.1089166,245.9237595
23,11,11,503.0102644,0,26,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Canoas,n,ft,0,0,0,0,1082185.323,26/9/2019 00:00,1289036.158,595,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,1/1/2002,109IIID,CM046, ,Cerca del drenaje rÃƒÂ­o Sucio.,Google Earth; 01/2002.,15-20 aÃƒÂ±os,503.0102644,1406,1406,1,MEDIA,451.1707584,1308.33612
24,12,12,999.3703885,0,29,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Lisboa,n,dts,0,0,0,0,1085596.914,26/9/2019 00:00,1284615.405,691,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Infraestructura,0,2/3/2011,109IIID,CM058, ,Cerca de la zona de actividad minera y de la vÃƒÂ­a Lebrija-Sabana de Torres. Adyacente al punto de confluencia entre las Quebradas La Sorda y El Trapiche.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,999.3703885,1396,1396,1,MEDIA,6.878847417,1.973432641
25,12,12,999.3703885,0,29,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Lisboa,n,dts,0,0,0,0,1085596.914,26/9/2019 00:00,1284615.405,691,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Infraestructura,0,2/3/2011,109IIID,CM058, ,Cerca de la zona de actividad minera y de la vÃƒÂ­a Lebrija-Sabana de Torres. Adyacente al punto de confluencia entre las Quebradas La Sorda y El Trapiche.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,999.3703885,1405,1405,1,MEDIA,59.26930862,84.9528577
26,12,12,999.3703885,0,29,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Lisboa,n,dts,0,0,0,0,1085596.914,26/9/2019 00:00,1284615.405,691,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Infraestructura,0,2/3/2011,109IIID,CM058, ,Cerca de la zona de actividad minera y de la vÃƒÂ­a Lebrija-Sabana de Torres. Adyacente al punto de confluencia entre las Quebradas La Sorda y El Trapiche.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,999.3703885,1409,1409,1,MEDIA,26.72725917,20.84158297
27,12,12,999.3703885,0,29,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Lisboa,n,dts,0,0,0,0,1085596.914,26/9/2019 00:00,1284615.405,691,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Infraestructura,0,2/3/2011,109IIID,CM058, ,Cerca de la zona de actividad minera y de la vÃƒÂ­a Lebrija-Sabana de Torres. Adyacente al punto de confluencia entre las Quebradas La Sorda y El Trapiche.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,999.3703885,1418,1418,2,ALTA,1059.12218,26514.08461
28,12,12,999.3703885,0,29,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Lisboa,n,dts,0,0,0,0,1085596.914,26/9/2019 00:00,1284615.405,691,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Infraestructura,0,2/3/2011,109IIID,CM058, ,Cerca de la zona de actividad minera y de la vÃƒÂ­a Lebrija-Sabana de Torres. Adyacente al punto de confluencia entre las Quebradas La Sorda y El Trapiche.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,999.3703885,1419,1419,1,MEDIA,665.7049935,784.7708336
29,13,13,1321.726008,0,30,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,ft,0,0,0,0,1086191.095,26/9/2019 00:00,1288900.623,695,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM057, ,Corregimiento El Naranjo. Cerca de la Quebrada Cutiga.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,1321.726008,584,584,1,MEDIA,25.17177876,6.288723714
30,13,13,1321.726008,0,30,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,ft,0,0,0,0,1086191.095,26/9/2019 00:00,1288900.623,695,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM057, ,Corregimiento El Naranjo. Cerca de la Quebrada Cutiga.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,1321.726008,593,593,1,MEDIA,35.88489448,62.35023834
31,13,13,1321.726008,0,30,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,ft,0,0,0,0,1086191.095,26/9/2019 00:00,1288900.623,695,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM057, ,Corregimiento El Naranjo. Cerca de la Quebrada Cutiga.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,1321.726008,1202,1202,2,ALTA,1327.899845,25854.48233
32,14,14,1820.139724,0,31,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,La Floresta,n,fl,0,0,0,0,1086559.301,26/9/2019 00:00,1286986.714,688,Flujos, ,Flujo de lodo, ,Inactivo,Infraestructura,0,2/3/2011,109IIID,CM021, ,Cerca del corregimiento Titan. adyacente a las Quebradas Agua Dulce y Cutiga.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,184.6559586,918,918,2,ALTA,198.8756833,1510.289596
33,14,14,1820.139724,0,31,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,La Floresta,n,fl,0,0,0,0,1086559.301,26/9/2019 00:00,1286986.714,688,Flujos, ,Flujo de lodo, ,Inactivo,Infraestructura,0,2/3/2011,109IIID,CM021, ,Cerca del corregimiento Titan. adyacente a las Quebradas Agua Dulce y Cutiga.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,184.6559586,923,923,1,MEDIA,119.2430828,121.9803229
34,15,15,2443.531058,0,33,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Cristal / El Libano,n,ft,0,0,0,0,1082621.007,26/9/2019 00:00,1285879.103,565,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM065, ,Corregimiento Vaiven. Cerca del punto de confluencia entre el drenaje rÃƒÂ­o Sucio y la Quebrada La Sorda.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,2350.766698,1289,1289,1,MEDIA,269.7745633,341.4309814
35,15,15,2443.531058,0,33,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Cristal / El Libano,n,ft,0,0,0,0,1082621.007,26/9/2019 00:00,1285879.103,565,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM065, ,Corregimiento Vaiven. Cerca del punto de confluencia entre el drenaje rÃƒÂ­o Sucio y la Quebrada La Sorda.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,2350.766698,1293,1293,1,MEDIA,30.63115432,24.58454902
36,15,15,2443.531058,0,33,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Cristal / El Libano,n,ft,0,0,0,0,1082621.007,26/9/2019 00:00,1285879.103,565,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM065, ,Corregimiento Vaiven. Cerca del punto de confluencia entre el drenaje rÃƒÂ­o Sucio y la Quebrada La Sorda.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,2350.766698,1318,1318,2,ALTA,2500.48906,76522.72196
37,15,15,2443.531058,0,33,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,Cristal / El Libano,n,ft,0,0,0,0,1082621.007,26/9/2019 00:00,1285879.103,565,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM065, ,Corregimiento Vaiven. Cerca del punto de confluencia entre el drenaje rÃƒÂ­o Sucio y la Quebrada La Sorda.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,2350.766698,1419,1419,1,MEDIA,846.3506301,958.477984
38,16,16,935.7417802,0,35,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,ft,0,0,0,0,1086128.379,26/9/2019 00:00,1288738.757,702,Flujos, ,Flujo de tierra, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM055, ,Corregimiento El Naranjo. Cerca de la Quebrada Cutiga.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,935.7417802,1202,1202,2,ALTA,939.6793551,20311.08514
39,17,17,217.8284397,0,36,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,dts,0,0,0,0,1085972.068,26/9/2019 00:00,1288788.158,765,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM035, ,Corregimiento El Naranjo. Cerca de la Quebrada Cutiga.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,217.8284397,1202,1202,2,ALTA,213.8908649,1481.55493
40,18,18,317.1315121,0,37,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,dts,0,0,0,0,1085318.958,26/9/2019 00:00,1286243.493,779,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM042, ,Corregimiento La EstaciÃƒÂ³n. Cerca de la Quebrada Agua Dulce.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,317.1315121,1224,1224,2,ALTA,323.3700671,2684.143537
41,18,18,317.1315121,0,37,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,dts,0,0,0,0,1085318.958,26/9/2019 00:00,1286243.493,779,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM042, ,Corregimiento La EstaciÃƒÂ³n. Cerca de la Quebrada Agua Dulce.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,317.1315121,1419,1419,1,MEDIA,319.297245,403.9766909
42,20,20,796.8705974,0,47,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,fd,0,0,0,0,1084413.235,26/9/2019 00:00,1287824.925,633,Flujos, ,Flujo de detritos, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM056, ,Adyacente a la vÃƒÂ­a Lebrija-Sabana de Torres. Cerca del drenaje rÃƒÂ­o Sucio.,Google Earth; 02/2011.,15-20 aÃƒÂ±os,796.8705974,748,748,2,ALTA,50,156.25
43,20,20,796.8705974,0,47,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,fd,0,0,0,0,1084413.235,26/9/2019 00:00,1287824.925,633,Flujos, ,Flujo de detritos, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM056, ,Adyacente a la vÃƒÂ­a Lebrija-Sabana de Torres. Cerca del drenaje rÃƒÂ­o Sucio.,Google Earth; 02/2011.,15-20 aÃƒÂ±os,796.8705974,1202,1202,2,ALTA,632.6970099,18430.49862
44,20,20,796.8705974,0,47,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,fd,0,0,0,0,1084413.235,26/9/2019 00:00,1287824.925,633,Flujos, ,Flujo de detritos, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM056, ,Adyacente a la vÃƒÂ­a Lebrija-Sabana de Torres. Cerca del drenaje rÃƒÂ­o Sucio.,Google Earth; 02/2011.,15-20 aÃƒÂ±os,796.8705974,1419,1419,1,MEDIA,661.7565875,5378.26481
45,21,21,281.78844,0,48,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,dts,0,0,0,0,1086107.084,26/9/2019 00:00,1288110.642,696,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM036, ,Cerca del corregimiento El Naranjo.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,281.78844,1202,1202,2,ALTA,281.78844,1682.423254
46,22,22,289.5119251,0,49,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,fd,0,0,0,0,1085893.841,26/9/2019 00:00,1288202.999,772,Flujos, ,Flujo de detritos, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM033, ,Cerca del corregimiento El Naranjo.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,289.5119251,1202,1202,2,ALTA,289.5119251,1392.541325
47,23,23,378.9609677,0,54,Carlos David Mesa GÃƒÂ³mez.,Santander,Lebrija,El LÃƒÂ­bano,n,dts,0,0,0,0,1085269.966,26/9/2019 00:00,1289447.01,712,Deslizamiento, ,Deslizamiento traslacional, ,Inactivo,Ambiental,0,2/3/2011,109IIID,CM048, ,Cerca del corregimiento El Naranjo.,Google Earth; 02/2011.,5-10 aÃƒÂ±os,378.9609677,1202,1202,2,ALTA,378.9609677,6973.381791
